,0
914,A159800
915,A160580
916,A161000
917,A161390
918,A161510
919,A161890
920,A163560
921,A166400
922,A167860
923,A168300
924,A168490
925,A168580
926,A169950
927,A170350
928,A170900
929,A172580
930,A174350
931,A174360
932,A175330
933,A176710
934,A176950
935,A180640
936,A18064K
937,A181480
938,A181710
939,A182480
940,A182490
941,A183190
942,A183700
943,A183710
944,A185680
945,A185750
946,A189400
947,A190160
948,A190620
949,A192080
950,A192090
951,A192400
952,A192650
953,A192720
954,A192820
955,A194370
956,A195870
957,A195920
958,A195930
959,A195970
960,A195980
961,A196030
962,A196230
963,A200030
964,A200250
965,A200880
966,A203780
967,A204210
968,A204320
969,A204450
970,A204480
971,A205720
972,A207940
973,A208470
974,A210540
975,A210780
976,A210980
977,A211210
978,A211260
979,A211560
980,A211900
981,A213500
982,A213610
983,A213630
984,A214320
985,A214330
986,A214390
987,A214420
988,A214980
989,A215620
990,A217770
991,A217780
992,A217790
993,A218420
994,A219390
995,A219480
996,A219900
997,A220130
998,A223190
999,A225030
1000,A225040
1001,A225050
1002,A225060
1003,A225130
1004,A225800
1005,A226320
1006,A226380
1007,A226490
1008,A226980
1009,A227540
1010,A227550
1011,A227560
1012,A227570
1013,A227830
1014,A227840
1015,A228790
1016,A228800
1017,A228810
1018,A228820
1019,A229200
1020,A229640
1021,A229720
1022,A230480
1023,A232080
1024,A233160
1025,A233740
1026,A234080
1027,A234310
1028,A236350
1029,A237350
1030,A237370
1031,A237440
1032,A238670
1033,A238720
1034,A239660
1035,A241180
1036,A241390
1037,A241560
1038,A241590
1039,A243880
1040,A243890
1041,A244580
1042,A244620
1043,A244660
1044,A244670
1045,A245340
1046,A245350
1047,A245360
1048,A245710
1049,A247780
1050,A247790
1051,A247800
1052,A248170
1053,A248260
1054,A248270
1055,A249420
1056,A250730
1057,A250780
1058,A251270
1059,A251340
1060,A251350
1061,A251590
1062,A251600
1063,A251890
1064,A252000
1065,A252400
1066,A252410
1067,A252420
1068,A252650
1069,A252670
1070,A252710
1071,A252720
1072,A252730
1073,A253150
1074,A253160
1075,A253230
1076,A253240
1077,A253250
1078,A253280
1079,A253290
1080,A253990
1081,A256440
1082,A256450
1083,A256750
1084,A260200
1085,A260270
1086,A261060
1087,A261070
1088,A261110
1089,A261120
1090,A261140
1091,A261220
1092,A261240
1093,A261250
1094,A261260
1095,A261270
1096,A261920
1097,A263190
1098,A264900
1099,A26490K
1100,A265690
1101,A266140
1102,A266160
1103,A266360
1104,A266370
1105,A266390
1106,A266410
1107,A266420
1108,A266550
1109,A267250
1110,A267260
1111,A267270
1112,A267290
1113,A267300
1114,A267440
1115,A267450
1116,A267490
1117,A267500
1118,A267770
1119,A267850
1120,A268280
1121,A269370
1122,A269420
1123,A269530
1124,A269540
1125,A270800
1126,A270810
1127,A271050
1128,A271060
1129,A271560
1130,A271980
1131,A272210
1132,A272220
1133,A272230
1134,A272450
1135,A272550
1136,A272560
1137,A272570
1138,A272580
1139,A272910
1140,A273130
1141,A273140
1142,A275280
1143,A275290
1144,A275300
1145,A275540
1146,A275750
1147,A275980
1148,A276000
1149,A276650
1150,A276970
1151,A276990
1152,A277540
1153,A277630
1154,A277640
1155,A277650
1156,A278240
1157,A278420
1158,A278530
1159,A278540
1160,A278620
1161,A279530
1162,A279540
1163,A280320
1164,A280360
1165,A280920
1166,A280930
1167,A280940
1168,A281820
1169,A281990
1170,A282000
1171,A282330
1172,A282690
1173,A283580
1174,A284430
1175,A284740
1176,A284980
1177,A284990
1178,A285000
1179,A285010
1180,A285020
1181,A285130
1182,A28513K
1183,A285690
1184,A286940
1185,A287180
1186,A287300
1187,A287310
1188,A287320
1189,A287330
1190,A289040
1191,A289250
1192,A289260
1193,A289480
1194,A289670
1195,A290080
1196,A290130
1197,A291130
1198,A291610
1199,A291620
1200,A291630
1201,A291660
1202,A291680
1203,A291890
1204,A292050
1205,A292100
1206,A292110
1207,A292120
1208,A292130
1209,A292140
1210,A292150
1211,A292160
1212,A292190
1213,A292340
1214,A292500
1215,A292560
1216,A292570
1217,A292580
1218,A292590
1219,A292730
1220,A292750
1221,A292770
1222,A293180
1223,A293480
1224,A293940
1225,A294400
1226,A294870
1227,A295000
1228,A295020
1229,A295040
1230,A295820
1231,A296710
1232,A298000
1233,A298020
1234,A298040
1235,A298050
1236,A298340
1237,A298690
1238,A298770
1239,A299070
1240,A299080
1241,A300280
1242,A300290
1243,A300300
1244,A300310
1245,A300610
1246,A300640
1247,A300720
1248,A300950
1249,A301400
1250,A301410
1251,A301440
1252,A302170
1253,A302180
1254,A302190
1255,A302200
1256,A302210
1257,A302450
1258,A304660
1259,A304670
1260,A304760
1261,A304770
1262,A304780
1263,A304940
1264,A305050
1265,A305080
1266,A305540
1267,A305720
1268,A306200
1269,A306520
1270,A306530
1271,A306540
1272,A306950
1273,A306960
1274,A307010
1275,A307020
1276,A307510
1277,A307520
1278,A307610
1279,A307620
1280,A307950
1281,A308170
1282,A308620
1283,A309170
1284,A309210
1285,A309230
1286,A310080
1287,A310960
1288,A310970
1289,A314250
1290,A314700
1291,A315270
1292,A315480
1293,A315930
1294,A315960
1295,A316140
1296,A316300
1297,A316670
1298,A317400
1299,A319640
1300,A319870
1301,A321410
1302,A322000
1303,A322120
1304,A322130
1305,A322150
1306,A322400
1307,A322410
1308,A325010
1309,A325020
1310,A326230
1311,A326240
1312,A328370
1313,A329200
1314,A329650
1315,A329660
1316,A329670
1317,A329750
1318,A330590
1319,A331910
1320,A332500
1321,A332610
1322,A332620
1323,A332930
1324,A332940
1325,A333940
1326,A333950
1327,A333960
1328,A333970
1329,A333980
1330,A334690
1331,A334700
1332,A336160
1333,A336260
1334,A33626K
1335,A33626L
1336,A336370
1337,A33637K
1338,A33637L
1339,A337120
1340,A337140
1341,A337150
1342,A337160
1343,A338100
1344,A341850
1345,A342140
1346,A342500
1347,A342600
1348,A342610
1349,A342620
1350,A344820
1351,A346000
1352,A352540
1353,A352560
1354,A353200
1355,A35320K
1356,A354240
1357,A354350
1358,A354500
1359,A900140
1360,Q500001
1361,Q500002
1362,Q500003
1363,Q500004
1364,Q500005
1365,Q500006
1366,Q500007
1367,Q500008
1368,Q500009
1369,Q500010
1370,Q500011
1371,Q500012
1372,Q500013
1373,Q500014
1374,Q500015
1375,Q500016
1376,Q500017
1377,Q500018
1378,Q500019
1379,Q500020
1380,Q500021
1381,Q500022
1382,Q500023
1383,Q500024
1384,Q500027
1385,Q500028
1386,Q500029
1387,Q500030
1388,Q500031
1389,Q500032
1390,Q500035
1391,Q500036
1392,Q500037
1393,Q500038
1394,Q500039
1395,Q500040
1396,Q500041
1397,Q500042
1398,Q500043
1399,Q500044
1400,Q500045
1401,Q500046
1402,Q500047
1403,Q500048
1404,Q500049
1405,Q500050
1406,Q500051
1407,Q500052
1408,Q500053
1409,Q500054
1410,Q510001
1411,Q510002
1412,Q510003
1413,Q510004
1414,Q510005
1415,Q510006
1416,Q510007
1417,Q510008
1418,Q510009
1419,Q510010
1420,Q510011
1421,Q520003
1422,Q520004
1423,Q520005
1424,Q520006
1425,Q520007
1426,Q520009
1427,Q520010
1428,Q520011
1429,Q520012
1430,Q520013
1431,Q520014
1432,Q520015
1433,Q520020
1434,Q520021
1435,Q520026
1436,Q530002
1437,Q530003
1438,Q530004
1439,Q530005
1440,Q530006
1441,Q530007
1442,Q530008
1443,Q530009
1444,Q530010
1445,Q530011
1446,Q530012
1447,Q530013
1448,Q530014
1449,Q530015
1450,Q530016
1451,Q530017
1452,Q530018
1453,Q530019
1454,Q530020
1455,Q530021
1456,Q530022
1457,Q530023
1458,Q530031
1459,Q530032
1460,Q530033
1461,Q530036
1462,Q530037
1463,Q530038
1464,Q530053
1465,Q530055
1466,Q530056
1467,Q530060
1468,Q530061
1469,Q530062
1470,Q530063
1471,Q530064
1472,Q530065
1473,Q530066
1474,Q530067
1475,Q550001
1476,Q550002
1477,Q550004
1478,Q550005
1479,Q550006
1480,Q550007
1481,Q550008
1482,Q550009
1483,Q550010
1484,Q550011
1485,Q550012
1486,Q550013
1487,Q550014
1488,Q550015
1489,Q550016
1490,Q550018
1491,Q550026
1492,Q550033
1493,Q550041
1494,Q550042
1495,Q550043
1496,Q550044
1497,Q550045
1498,Q550046
1499,Q550047
1500,Q550052
1501,Q550053
1502,Q550054
1503,Q550055
1504,Q550056
1505,Q550057
1506,Q550058
1507,Q570003
1508,Q570008
1509,Q570009
1510,Q570019
1511,Q570020
1512,Q570021
1513,Q570022
1514,Q570023
1515,Q570024
1516,Q570025
1517,Q570026
1518,Q570027
1519,Q570028
1520,Q570029
1521,Q570030
1522,Q570031
1523,Q570032
1524,Q570034
1525,Q570035
1526,Q570036
1527,Q570037
1528,Q570038
1529,Q570042
1530,Q570043
1531,Q570044
1532,Q570045
1533,Q570046
1534,Q570047
1535,Q570048
1536,Q570049
1537,Q580006
1538,Q580007
1539,Q580008
1540,Q580009
1541,Q580010
1542,Q590003
1543,Q590004
1544,Q590005
1545,Q590006
1546,Q590007
1547,Q590008
1548,Q590009
1549,Q590010
1550,Q590011
1551,Q590012
1552,Q590013
1553,Q590016
1554,Q590017
1555,Q590018
1556,Q700001
